alt_km,pres_mb,temp_k,density_cm-3,h2o_ppmv,o3_ppmv,n2o_ppmv,co_ppmv,ch4_ppmv
0.0,1018.0,272.2,2.71e+19,4320.0,0.0278,0.32,0.15,1.7
1.0,897.3,268.7,2.42e+19,3450.0,0.028,0.32,0.145,1.7
2.0,789.7,265.2,2.16e+19,2790.0,0.0285,0.32,0.14,1.7
3.0,693.8,261.7,1.92e+19,2090.0,0.032,0.32,0.135,1.7
4.0,608.1,255.7,1.72e+19,1280.0,0.0357,0.32,0.131,1.7
5.0,531.3,249.7,1.54e+19,824.0,0.0472,0.32,0.13,1.69
6.0,462.7,243.7,1.38e+19,510.0,0.0584,0.32,0.129,1.67
7.0,401.8,237.7,1.23e+19,232.0,0.0789,0.32,0.125,1.65
8.0,347.3,231.7,1.09e+19,108.0,0.104,0.32,0.119,1.63
9.0,299.3,225.7,9.61e+18,55.7,0.157,0.316,0.109,1.62
10.0,256.8,219.7,8.47e+18,29.6,0.237,0.31,0.0996,1.58
11.0,219.9,219.2,7.27e+18,10.0,0.362,0.299,0.0896,1.54
12.0,188.2,218.7,6.24e+18,6.0,0.523,0.294,0.0781,1.51
13.0,161.1,218.2,5.35e+18,5.0,0.704,0.286,0.0637,1.48
14.0,137.8,217.7,4.59e+18,4.8,0.8,0.28,0.0303,1.45
15.0,117.8,217.2,3.93e+18,4.7,0.9,0.272,0.0394,1.42
16.0,100.7,216.7,3.37e+18,4.5,1.1,0.261,0.0307,1.39
17.0,86.1,216.2,2.89e+18,4.5,1.4,0.242,0.0249,1.36
18.0,73.6,215.7,2.47e+18,4.5,1.8,0.217,0.0197,1.32
19.0,62.8,215.2,2.12e+18,4.5,2.3,0.184,0.0155,1.28
20.0,53.7,215.2,1.81e+18,4.5,2.9,0.162,0.0133,1.22
21.0,45.8,215.2,1.54e+18,4.5,3.5,0.136,0.0123,1.15
22.0,39.1,215.2,1.32e+18,4.53,3.9,0.123,0.0123,1.07
23.0,33.4,215.2,1.13e+18,4.55,4.3,0.112,0.0131,0.973
24.0,28.6,215.2,9.63e+17,4.6,4.7,0.105,0.014,0.88
25.0,24.4,215.2,8.22e+17,4.65,5.1,0.0966,0.015,0.793
27.5,16.46,215.5,5.54e+17,4.7,5.6,0.0869,0.016,0.713
30.0,11.1,217.4,3.7e+17,4.75,6.1,0.0752,0.0171,0.644
32.5,7.56,220.4,2.49e+17,4.8,6.8,0.0613,0.0185,0.575
35.0,5.18,227.9,1.65e+17,4.85,7.1,0.0512,0.02,0.505
37.5,3.6,235.5,1.11e+17,4.9,7.2,0.0397,0.0215,0.448
40.0,2.53,243.2,7.54e+16,4.95,6.9,0.03,0.0233,0.393
42.5,1.8,250.8,5.2e+16,5.0,5.9,0.0208,0.0263,0.341
45.0,1.29,258.5,3.62e+16,5.0,4.6,0.0131,0.0306,0.288
47.5,0.94,265.1,2.57e+16,5.0,3.7,0.00807,0.038,0.239
50.0,0.683,265.7,1.86e+16,4.95,2.75,0.00416,0.0625,0.194
55.0,0.362,260.6,1.01e-16,4.85,1.7,0.00263,0.148,0.157
60.0,0.188,250.8,5430000000000000.0,4.5,1.0,0.00181,0.293,0.15
65.0,0.095,240.9,2860000000000000.0,4.0,0.55,0.00132,0.559,0.15
70.0,0.047,230.7,1480000000000000.0,3.3,0.32,0.00101,1.08,0.15
75.0,0.0222,220.4,730000000000000.0,2.7,0.25,0.000788,1.9,0.15
80.0,0.0103,210.1,355000000000000.0,2.0,0.23,0.000633,2.96,0.15
85.0,0.00456,199.8,165000000000000.0,1.33,0.55,0.000519,4.53,0.15
90.0,0.00198,199.5,71900000000000.0,0.85,0.8,0.000433,6.86,0.14
95.0,0.000877,208.3,30500000000000.0,0.54,0.8,0.000367,10.5,0.13
100.0,0.0004074,218.6,13500000000000.0,0.4,0.4,0.000314,17.1,0.12
105.0,0.0002,237.1,6110000000000.0,0.34,0.2,0.000272,24.7,0.11
110.0,0.0001057,259.5,2950000000000.0,0.28,0.0501,0.000237,33.6,0.095
115.0,5.98e-05,293.0,1480000000000.0,0.24,0.005,0.000209,41.5,0.06
120.0,3.6e-05,333.0,784000000000.0,0.2,0.0005,0.000185,50.0,0.03
