,ir_meas,tsky
0,100.0,209.13140845559357
1,104.04040404040404,211.11713229903984
2,108.08080808080808,213.03647489305104
3,112.12121212121212,214.90878139719936
4,116.16161616161617,216.7325102193856
5,120.20202020202021,218.5171129056071
6,124.24242424242425,220.23927241958472
7,128.2828282828283,221.93061169761552
8,132.32323232323233,223.5902149545473
9,136.36363636363637,225.2059549742987
10,140.40404040404042,226.79930893086933
11,144.44444444444446,228.3354216921809
12,148.4848484848485,229.84749543454814
13,152.52525252525254,231.3348392428759
14,156.56565656565658,232.8085244765269
15,160.60606060606062,234.23306814490215
16,164.64646464646466,235.63094018395225
17,168.6868686868687,237.02534189219745
18,172.72727272727275,238.36835304207824
19,176.7676767676768,239.69500194059177
20,180.80808080808083,241.01702277795218
21,184.84848484848487,242.30994369809727
22,188.8888888888889,243.5733004548807
23,192.92929292929296,244.83096083053198
24,196.96969696969697,246.05824264737652
25,201.010101010101,247.25454251179337
26,205.05050505050505,248.44427688164433
27,209.0909090909091,249.62721208436312
28,213.13131313131314,250.77820005296041
29,217.17171717171718,251.90930157882212
30,221.21212121212122,253.05811583132237
31,225.25252525252526,254.17408066226722
32,229.2929292929293,255.25663096965266
33,233.33333333333334,256.3566528368121
34,237.37373737373738,257.4227540658191
35,241.41414141414143,258.48040694775347
36,245.45454545454547,259.51645108542937
37,249.4949494949495,260.5435763216098
38,253.53535353535355,261.5617312894728
39,257.5757575757576,262.5706917274001
40,261.61616161616166,263.5704086016495
41,265.6565656565657,264.5474744246288
42,269.69696969696975,265.5148412728064
43,273.7373737373738,266.47246527230027
44,277.7777777777778,267.4335431040544
45,281.81818181818187,268.3846222506685
46,285.8585858585859,269.2987287728632
47,289.89898989898995,270.2159487027
48,293.93939393939394,271.122690300008
49,297.979797979798,272.04612256464344
50,302.020202020202,273.0
51,306.06060606060606,273.806533811288
52,310.1010101010101,274.68416205787565
53,314.14141414141415,275.56460335398583
54,318.1818181818182,276.40635450152104
55,322.22222222222223,277.26458668535
56,326.26262626262627,278.1254836504667
57,330.3030303030303,278.9471598641842
58,334.34343434343435,279.7852998327902
59,338.3838383838384,280.5978955270013
60,342.42424242424244,281.4268760768873
61,346.4646464646465,282.21601506649864
62,350.5050505050505,283.00736685239144
63,354.54545454545456,283.8009376393884
64,358.5858585858586,284.61091711476814
65,362.62626262626264,285.3804434609934
66,366.6666666666667,286.1520504399771
67,370.7070707070707,286.92574367730003
68,374.74747474747477,287.6870954259788
69,378.7878787878788,288.43609259893776
70,382.82828282828285,289.1870397959821
71,386.8686868686869,289.9253964097079
72,390.90909090909093,290.6511530068961
73,394.949494949495,291.4078671431251
74,398.989898989899,292.1081210060423
75,403.03030303030306,292.8539357673814
76,407.0707070707071,293.557664536965
77,411.11111111111114,294.2630843686128
78,415.1515151515152,294.9701993259513
79,419.1919191919192,295.66417988077114
80,423.23232323232327,296.37466167427056
81,427.2727272727273,297.05714207229255
82,431.31313131313135,297.74119406044673
83,435.3535353535354,298.4268212577315
84,439.39393939393943,299.09902136237366
85,443.4343434343435,299.75779653565013
86,447.4747474747475,300.44806748909195
87,451.51515151515156,301.1098139796658
88,455.5555555555556,301.75787866293524
89,459.59595959595964,302.4225100545667
90,463.6363636363637,303.0582964575912
91,467.6767676767677,303.6954194818554
92,471.71717171717177,304.3338819373539
93,475.7575757575758,304.9888856325154
94,479.79797979797985,305.5995043503933
95,483.8383838383839,306.24196978592573
96,487.8787878787879,306.85509730551803
97,491.9191919191919,307.5002023889009
98,495.95959595959596,308.10039148613356
99,500.0,308.71723975467546
